Value/Sec,Mbps,Latency Min (ms),Latency Max (ms),Latency Avg (ms)
74,0.05,4.1,45.286,10.477
82,0.06,4.118,82.278,12.484
180,0.13,3.866,12.999,5.594
170,0.12,3.705,44.499,5.88
88,0.06,4.085,41.271,11.371
112,0.08,3.747,105.923,9.013
131,0.1,4.034,45.017,7.642
197,0.14,0.336,8.334,5.084
178,0.13,3.86,25.782,5.64
90,0.07,3.932,80.831,11.116
142,0.1,3.843,78.569,7.012
117,0.09,3.723,71.488,8.655
171,0.13,3.338,23.619,5.889
148,0.11,3.134,49.981,6.736
59,0.04,3.589,45.307,11.722
27,0.02,3.2,381.304,38.658
58,0.04,3.382,325.839,17.959
82,0.06,3.351,316.912,13.632
111,0.08,3.346,254.44,9.448
63,0.05,3.511,241.285,15.86
74,0.05,3.065,280.014,14.611
66,0.05,3.513,228.953,14.864
81,0.06,3.328,332.175,12.687
101,0.07,3.135,229.176,9.912
46,0.03,3.205,231.317,21.134
67,0.05,3.64,225.222,15.261
91,0.07,3.184,315.186,11.079
87,0.06,2.989,223.69,11.558
104,0.08,2.96,310.023,9.654
100,0.07,3,257.102,9.212
98,0.07,3.521,217.646,10.763
112,0.08,3.702,225.938,9.153
82,0.06,3.538,225.933,12.391
101,0.07,3.625,227.086,9.86
81,0.06,3.396,315.929,12.265
47,0.03,4.389,244.94,21.021
35,0.03,4.181,200.919,29.427
154,0.11,3.468,37.264,6.54
175,0.13,3.131,34.92,5.759
134,0.1,3.509,45.386,7.061
87,0.06,3.689,97.224,12.092
77,0.06,3.298,58.76,13.071
108,0.08,3.469,70.767,9.256
114,0.08,3.184,43.53,8.802
76,0.06,3.892,77.51,13.097
54,0.04,3.401,53.443,17.536
73,0.05,3.484,97.156,14.553
86,0.06,2.809,66.619,11.722
135,0.1,3.004,36.743,7.447
,,,,
100.5306122,0.073061224,3.447122449,148.8068367,11.87061224
